Station1,Station2,Station3,Station4,Station5,Station6,Station7,Station8,Station9,Station10,Station11,Station12
1.042059955,2.288001205,6.91497394,8.378954909,7.546439619,9.265272208,19.31208938,14.72192855,21.31409044,35.05625609,51.59329451,48.67665931
0.566336932,1.608396887,4.156913081,5.434002863,4.986596686,5.972022948,11.79962998,8.885826463,16.18307783,24.00135918,34.60318655,31.94140296
0.877822245,1.469644339,5.501963294,8.514875773,5.671864374,3.514120663,11.20214451,10.64147095,17.59608848,22.71860603,25.67205313,21.99935812
0.617307256,2.537189455,2.537189455,3.800120814,3.576417726,3.029902586,4.338140899,6.917805624,13.39386844,26.67163781,22.63931886,14.46424524
0.104205995,0.566336932,1.781129651,2.520199347,1.710337535,0.444574492,3.010080794,3.281922521,6.399607332,27.00294492,23.18017063,11.6297289
2.619308311,2.622139995,1.979347577,2.984595632,5.592577204,0.495544816,7.481310872,7.461489079,10.78871855,54.34002863,52.27289882,35.31110771
0.962772784,1.095861963,1.149663972,1.410178961,1.713169219,0.620138941,20.97995165,20.02567392,19.61224796,30.75209541,35.33942456,22.53737821
6.586498519,10.71509475,1.50079287,7.002756164,18.65797022,15.81212714,8.432756917,10.01566864,14.88050289,21.86626894,24.02684434,22.45242767
41.90893297,68.35686769,49.5827984,81.29766659,104.2059955,108.3968888,32.30952197,66.00656942,79.93845795,155.8276068,185.5036621,190.685645
2.010496109,6.207052775,13.69119533,26.68296455,29.87427316,31.17684811,24.30151775,29.73268893,35.19784032,63.06161738,84.44083656,89.84935426
1.902892092,15.13818619,12.38012533,22.01068486,50.74378911,61.16438866,52.72596837,62.58023099,70.45231434,82.43034045,88.80163094,86.39469898
1.905723776,12.87850183,18.81654457,28.40179714,42.33368567,56.97349536,68.18696661,124.1976892,147.3325529,237.3234914,231.1504188,226.6197233
0.574831986,2.868496561,6.920637309,8.897153202,9.548440674,14.39628481,26.32050891,69.43290786,82.48697415,185.5886126,196.6604996,219.7670465
8.237370676,64.30755863,81.6091519,106.1315411,229.2248732,278.2130178,198.4727778,393.6041677,439.1942908,690.0815516,609.0953704,638.5448908
2.950615416,28.10730194,36.95348481,39.133882,90.01925534,137.3650229,268.1888541,482.2358976,537.17058,1062.731253,1116.81643,1226.685795
14.77856224,25.68054818,27.55229174,37.97289129,73.42558323,115.6460015,129.2947216,229.3381406,316.8655135,764.2716897,777.5806076,863.6638213
21.05357545,47.0342822,45.87329149,58.84240723,88.2919277,104.9705503,144.6707693,212.3480327,261.0813257,593.2379363,595.503284,633.7310269
18.30400964,90.50064173,55.07626664,86.2247979,90.64222597,84.78063872,91.74658298,161.8307783,200.8513929,499.7923425,504.6062064,499.509174
9.32756927,18.50505925,20.87234763,26.68013287,37.66140598,43.15487422,56.91686167,69.0931057,85.20539142,283.168466,302.1407532,286.5664876
5.224458198,7.166993874,15.77814693,19.79913914,19.79913914,19.98036696,23.74650756,24.42328019,27.28045001,82.26043937,91.37846398,85.82836204
